Japan, Life tables (period 1x1), Females	Last modified: 26 Sep 2017,MPv6 (in development)


  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0      0.08227  0.07787  0.31  100000    7787   94659  5375880  53.76
  1947           1      0.03564  0.03502  0.50   92213    3229   90598  5281222  57.27
  1947           2      0.01726  0.01711  0.50   88983    1523   88222  5190624  58.33
  1947           3      0.01122  0.01116  0.50   87461     976   86973  5102402  58.34
  1947           4      0.00702  0.00700  0.50   86485     605   86182  5015429  57.99
  1947           5      0.00483  0.00482  0.50   85879     414   85672  4929247  57.40
  1947           6      0.00368  0.00367  0.50   85465     314   85309  4843575  56.67
  1947           7      0.00287  0.00287  0.50   85152     244   85030  4758266  55.88
  1947           8      0.00222  0.00222  0.50   84908     188   84813  4673236  55.04
  1947           9      0.00202  0.00201  0.50   84719     171   84634  4588423  54.16
  1947          10      0.00183  0.00183  0.50   84548     155   84471  4503789  53.27
  1947          11      0.00170  0.00170  0.50   84394     143   84322  4419318  52.37
  1947          12      0.00185  0.00185  0.50   84251     156   84173  4334996  51.45
  1947          13      0.00190  0.00190  0.50   84095     159   84015  4250823  50.55
  1947          14      0.00237  0.00237  0.50   83935     199   83836  4166808  49.64
  1947          15      0.00322  0.00322  0.50   83737     269   83602  4082972  48.76
  1947          16      0.00360  0.00359  0.50   83467     300   83317  3999370  47.92
  1947          17      0.00449  0.00448  0.50   83167     373   82981  3916053  47.09
  1947          18      0.00523  0.00522  0.50   82794     432   82578  3833072  46.30
  1947          19      0.00632  0.00630  0.50   82362     519   82103  3750494  45.54
  1947          20      0.00697  0.00695  0.50   81843     569   81559  3668391  44.82
  1947          21      0.00734  0.00731  0.50   81274     594   80977  3586832  44.13
  1947          22      0.00735  0.00732  0.50   80680     590   80385  3505855  43.45
  1947          23      0.00780  0.00777  0.50   80090     623   79778  3425470  42.77
  1947          24      0.00787  0.00784  0.50   79467     623   79156  3345692  42.10
  1947          25      0.00759  0.00756  0.50   78844     596   78546  3266537  41.43
  1947          26      0.00740  0.00737  0.50   78248     577   77960  3187991  40.74
  1947          27      0.00717  0.00715  0.50   77671     555   77394  3110031  40.04
  1947          28      0.00725  0.00722  0.50   77116     557   76838  3032637  39.33
  1947          29      0.00729  0.00726  0.50   76559     556   76281  2955799  38.61
  1947          30      0.00722  0.00719  0.50   76003     547   75730  2879518  37.89
  1947          31      0.00701  0.00698  0.50   75457     527   75193  2803788  37.16
  1947          32      0.00703  0.00701  0.50   74930     525   74667  2728594  36.42
  1947          33      0.00707  0.00705  0.50   74405     524   74142  2653927  35.67
  1947          34      0.00700  0.00697  0.50   73880     515   73623  2579784  34.92
  1947          35      0.00693  0.00691  0.50   73365     507   73112  2506162  34.16
  1947          36      0.00706  0.00704  0.50   72858     513   72602  2433050  33.39
  1947          37      0.00721  0.00718  0.50   72346     519   72086  2360448  32.63
  1947          38      0.00712  0.00709  0.50   71826     509   71572  2288362  31.86
  1947          39      0.00752  0.00749  0.50   71317     534   71050  2216791  31.08
  1947          40      0.00730  0.00727  0.50   70783     515   70525  2145741  30.31
  1947          41      0.00789  0.00786  0.50   70268     552   69992  2075216  29.53
  1947          42      0.00829  0.00826  0.50   69716     576   69428  2005224  28.76
  1947          43      0.00793  0.00790  0.50   69140     546   68867  1935796  28.00
  1947          44      0.00802  0.00799  0.50   68594     548   68320  1866929  27.22
  1947          45      0.00823  0.00820  0.50   68046     558   67767  1798609  26.43
  1947          46      0.00858  0.00855  0.50   67488     577   67200  1730841  25.65
  1947          47      0.00907  0.00903  0.50   66911     604   66609  1663642  24.86
  1947          48      0.00938  0.00934  0.50   66307     619   65998  1597033  24.09
  1947          49      0.01063  0.01057  0.50   65688     694   65341  1531035  23.31
  1947          50      0.01128  0.01121  0.50   64994     729   64629  1465694  22.55
  1947          51      0.01169  0.01162  0.50   64265     747   63891  1401065  21.80
  1947          52      0.01239  0.01232  0.50   63518     782   63127  1337173  21.05
  1947          53      0.01317  0.01309  0.50   62736     821   62325  1274046  20.31
  1947          54      0.01379  0.01369  0.50   61915     848   61491  1211721  19.57
  1947          55      0.01430  0.01420  0.50   61067     867   60633  1150230  18.84
  1947          56      0.01550  0.01538  0.50   60200     926   59737  1089597  18.10
  1947          57      0.01692  0.01678  0.50   59274     995   58777  1029860  17.37
  1947          58      0.01893  0.01875  0.50   58279    1093   57733   971083  16.66
  1947          59      0.01950  0.01931  0.50   57186    1104   56634   913350  15.97
  1947          60      0.02332  0.02305  0.50   56082    1293   55436   856716  15.28
